,and,or,not,%correct
and,523,37,4,=B2*100/SUM(B2:D2)
or,4,96,0,=C3*100/SUM(B3:D3)
not,1,25,162,=D4*100/SUM(B4:D4)
,,,,=(B2+C3+D4)*100/SUM(B2:D4)
