,and,or,not,%correct
and,2791,378,71,=B2*100/SUM(B2:D2)
or,364,990,206,=C3*100/SUM(B3:D3)
not,25,427,856,=D4*100/SUM(B4:D4)
,,,,=(B2+C3+D4)*100/SUM(B2:D4)
