,and,or,not,%correct
and,2403,273,48,=B2*100/SUM(B2:D2)
or,270,709,161,=C3*100/SUM(B3:D3)
not,20,274,766,=D4*100/SUM(B4:D4)
,,,,=(B2+C3+D4)*100/SUM(B2:D4)
