,and,or,not,%correct
and,2571,574,95,=B2*100/SUM(B2:D2)
or,310,1004,246,=C3*100/SUM(B3:D3)
not,57,373,878,=D4*100/SUM(B4:D4)
,,,,=(B2+C3+D4)*100/SUM(B2:D4)
