,and,or,not,%correct
and,2596,449,83,=B2*100/SUM(B2:D2)
or,272,1004,172,=C3*100/SUM(B3:D3)
not,35,307,878,=D4*100/SUM(B4:D4)
,,,,=(B2+C3+D4)*100/SUM(B2:D4)
