,and,or,not,%correct
and,216,23,3,=B2*100/SUM(B2:D2)
or,12,85,5,=C3*100/SUM(B3:D3)
not,2,10,75,=D4*100/SUM(B4:D4)
,,,,=(B2+C3+D4)*100/SUM(B2:D4)
