,and,or,not,%correct
and,567,227,16,=B2*100/SUM(B2:D2)
or,66,254,70,=C3*100/SUM(B3:D3)
not,10,92,225,=D4*100/SUM(B4:D4)
,,,,=(B2+C3+D4)*100/SUM(B2:D4)
