,and,or,not,%correct
and,602,169,11,=B2*100/SUM(B2:D2)
or,67,242,53,=C3*100/SUM(B3:D3)
not,3,77,225,=D4*100/SUM(B4:D4)
,,,,=(B2+C3+D4)*100/SUM(B2:D4)
