,and,or,not,%correct
and,683,82,17,=B2*100/SUM(B2:D2)
or,98,235,29,=C3*100/SUM(B3:D3)
not,20,68,217,=D4*100/SUM(B4:D4)
,,,,=(B2+C3+D4)*100/SUM(B2:D4)
