,and,or,not,%correct
and,695,99,16,=B2*100/SUM(B2:D2)
or,117,221,52,=C3*100/SUM(B3:D3)
not,31,83,213,=D4*100/SUM(B4:D4)
,,,,=(B2+C3+D4)*100/SUM(B2:D4)
